Gen	A-1	A-2	A-3	A-4	A-5	A-6	A+1	A+2	A+3	A+4	A+5	A+6
0	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725	0.3725
500	0.485	0.51	0.45	0.515	0.53	0.455	0.48	0.47	0.47	0.485	0.525	0.46
1000	0.515	0.625	0.625	0.58	0.63	0.515	0.495	0.555	0.575	0.495	0.585	0.585
2000	0.6	0.66	0.63	0.7	0.705	0.545	0.58	0.675	0.645	0.675	0.675	0.64
5000	0.665	0.945	0.7	0.765	0.915	0.655	0.595	0.89	0.85	0.65	0.725	0.735
8000	0.67	0.94	0.695	0.815	0.87	0.675	0.695	0.895	0.975	0.75	0.835	1.08
9000	0.685	0.975	0.685	0.81	0.88	0.66	0.735	0.92	0.985	0.79	0.89	1.02
9500	0.67	0.935	0.685	0.735	0.85	0.685	0.72	0.94	0.965	0.835	0.895	0.965
10000	0.67	0.845	0.7	0.76	0.775	0.655	0.705	1.1	0.895	0.845	0.81	1.015
